bikes,year,month,day,hourfrom,dayofyear
0,2020,1,17,3,17
11,2020,1,17,4,17
22,2020,1,17,5,17
73,2020,1,17,6,17
207,2020,1,17,7,17
207,2020,1,17,8,17
110,2020,1,17,9,17
87,2020,1,17,10,17
91,2020,1,17,11,17
68,2020,1,17,12,17
82,2020,1,17,13,17
63,2020,1,17,14,17
77,2020,1,17,15,17
103,2020,1,17,16,17
133,2020,1,17,17,17
98,2020,1,17,18,17
64,2020,1,17,19,17
35,2020,1,17,20,17
27,2020,1,17,21,17
29,2020,1,17,22,17
16,2020,1,17,23,17
16,2020,1,18,0,18
10,2020,1,18,1,18
9,2020,1,18,2,18
5,2020,1,18,3,18
13,2020,1,18,4,18
14,2020,1,18,5,18
16,2020,1,18,6,18
17,2020,1,18,7,18
26,2020,1,18,8,18
55,2020,1,18,9,18
58,2020,1,18,10,18
46,2020,1,18,11,18
70,2020,1,18,12,18
85,2020,1,18,13,18
75,2020,1,18,14,18
48,2020,1,18,15,18
52,2020,1,18,16,18
54,2020,1,18,17,18
56,2020,1,18,18,18
24,2020,1,18,19,18
24,2020,1,18,20,18
16,2020,1,18,21,18
17,2020,1,18,22,18
12,2020,1,18,23,18
9,2020,1,19,0,19
10,2020,1,19,1,19
5,2020,1,19,2,19
4,2020,1,19,3,19
5,2020,1,19,4,19
3,2020,1,19,5,19
5,2020,1,19,6,19
7,2020,1,19,7,19
7,2020,1,19,8,19
43,2020,1,19,9,19
50,2020,1,19,10,19
43,2020,1,19,11,19
46,2020,1,19,12,19
45,2020,1,19,13,19
33,2020,1,19,14,19
28,2020,1,19,15,19
56,2020,1,19,16,19
61,2020,1,19,17,19
25,2020,1,19,18,19
29,2020,1,19,19,19
25,2020,1,19,20,19
26,2020,1,19,21,19
14,2020,1,19,22,19
4,2020,1,19,23,19
0,2020,1,20,0,20
2,2020,1,20,1,20
1,2020,1,20,2,20
0,2020,1,20,3,20
4,2020,1,20,4,20
18,2020,1,20,5,20
67,2020,1,20,6,20
228,2020,1,20,7,20
200,2020,1,20,8,20
78,2020,1,20,9,20
52,2020,1,20,10,20
52,2020,1,20,11,20
107,2020,1,20,12,20
103,2020,1,20,13,20
83,2020,1,20,14,20
81,2020,1,20,15,20
144,2020,1,20,16,20
168,2020,1,20,17,20
123,2020,1,20,18,20
67,2020,1,20,19,20
45,2020,1,20,20,20
41,2020,1,20,21,20
28,2020,1,20,22,20
6,2020,1,20,23,20
3,2020,1,21,0,21
1,2020,1,21,1,21
2,2020,1,21,2,21
1,2020,1,21,3,21
4,2020,1,21,4,21
30,2020,1,21,5,21
89,2020,1,21,6,21
277,2020,1,21,7,21
221,2020,1,21,8,21
94,2020,1,21,9,21
52,2020,1,21,10,21
78,2020,1,21,11,21
78,2020,1,21,12,21
105,2020,1,21,13,21
78,2020,1,21,14,21
94,2020,1,21,15,21
170,2020,1,21,16,21
197,2020,1,21,17,21
155,2020,1,21,18,21
74,2020,1,21,19,21
44,2020,1,21,20,21
43,2020,1,21,21,21
43,2020,1,21,22,21
13,2020,1,21,23,21
5,2020,1,22,0,22
2,2020,1,22,1,22
0,2020,1,22,2,22
1,2020,1,22,3,22
2,2020,1,22,4,22
20,2020,1,22,5,22
93,2020,1,22,6,22
259,2020,1,22,7,22
213,2020,1,22,8,22
91,2020,1,22,9,22
52,2020,1,22,10,22
58,2020,1,22,11,22
91,2020,1,22,12,22
91,2020,1,22,13,22
81,2020,1,22,14,22
61,2020,1,22,15,22
139,2020,1,22,16,22
198,2020,1,22,17,22
131,2020,1,22,18,22
77,2020,1,22,19,22
46,2020,1,22,20,22
30,2020,1,22,21,22
19,2020,1,22,22,22
6,2020,1,22,23,22
2,2020,1,23,0,23
1,2020,1,23,1,23
0,2020,1,23,2,23
3,2020,1,23,3,23
2,2020,1,23,4,23
