day,category,passengers,flights
2022-11-16,Andere Kategorien,8,50
2022-11-15,Fracht Express,0,18
2022-11-15,Fracht Cargo,0,
2022-11-15,Andere Kategorien,4,36
2022-11-14,Passagierverkehr,14440,124
2022-11-14,Fracht Express,0,15
2022-11-13,Andere Kategorien,0,34
2022-11-12,Fracht Cargo,0,4
2022-11-12,Andere Kategorien,0,8
2022-11-11,Passagierverkehr,18656,147
2022-11-10,Fracht Express,0,18
2022-11-08,Fracht Cargo,0,
2022-11-08,Andere Kategorien,5,32
2022-11-07,Andere Kategorien,5,93
2022-11-06,Passagierverkehr,22282,176
2022-11-06,Fracht Express,0,
2022-11-05,Fracht Express,0,2
2022-11-05,Fracht Cargo,0,4
2022-11-04,Andere Kategorien,1,106
2022-11-03,Andere Kategorien,0,44
2022-11-02,Passagierverkehr,15852,135
2022-11-02,Fracht Express,0,18
2022-11-01,Passagierverkehr,18652,148
2022-10-31,Andere Kategorien,6,53
2022-10-30,Fracht Express,0,
2022-10-30,Andere Kategorien,6,61
2022-10-29,Fracht Express,0,2
2022-10-28,Fracht Express,0,11
2022-10-27,Fracht Cargo,0,
2022-10-26,Fracht Express,0,20
2022-10-24,Passagierverkehr,23134,182
2022-10-24,Fracht Express,0,15
2022-10-24,Fracht Cargo,0,2
2022-10-22,Fracht Express,0,2
2022-10-21,Fracht Express,0,9
2022-10-21,Andere Kategorien,5,39
2022-10-20,Passagierverkehr,24093,192
2022-10-20,Andere Kategorien,3,58
2022-10-19,Passagierverkehr,19487,176
2022-10-19,Fracht Cargo,0,4
2022-10-18,Fracht Cargo,0,
2022-10-17,Fracht Express,0,13
2022-10-17,Fracht Cargo,0,2
2022-10-17,Andere Kategorien,7,64
2022-10-16,Fracht Cargo,0,
2022-10-14,Fracht Cargo,0,2
2022-10-13,Passagierverkehr,25757,188
2022-10-13,Andere Kategorien,7,65
2022-10-12,Fracht Cargo,0,4
2022-10-12,Andere Kategorien,6,76
2022-10-11,Fracht Cargo,0,2
2022-10-11,Andere Kategorien,26,34
2022-10-10,Fracht Cargo,0,
2022-10-09,Fracht Cargo,0,
2022-10-06,Fracht Express,0,18
2022-10-04,Fracht Cargo,0,
2022-10-02,Passagierverkehr,28375,210
2022-10-01,Passagierverkehr,26595,187
2022-10-01,Fracht Cargo,0,4
2022-09-30,Passagierverkehr,25731,215
2022-09-29,Fracht Cargo,0,
2022-09-29,Andere Kategorien,25,25
2022-09-28,Fracht Express,0,18
2022-09-27,Fracht Cargo,0,
2022-09-26,Fracht Express,0,15
2022-09-25,Fracht Express,0,
2022-09-23,Passagierverkehr,24191,199
2022-09-23,Fracht Express,0,13
2022-09-20,Fracht Express,0,18
2022-09-20,Andere Kategorien,4,61
2022-09-19,Fracht Express,0,15
2022-09-19,Andere Kategorien,12,69
2022-09-17,Fracht Express,0,2
2022-09-16,Fracht Express,0,13
2022-09-15,Andere Kategorien,10,11
2022-09-14,Passagierverkehr,20147,183
2022-09-14,Fracht Express,0,20
2022-09-14,Fracht Cargo,0,4
2022-09-14,Andere Kategorien,18,47
2022-09-13,Passagierverkehr,21823,199
2022-09-09,Fracht Cargo,0,2
2022-09-08,Fracht Express,0,18
2022-09-08,Fracht Cargo,0,
2022-09-08,Andere Kategorien,5,45
2022-09-06,Passagierverkehr,23252,197
2022-09-06,Fracht Cargo,0,
2022-09-06,Andere Kategorien,8,62
2022-09-05,Passagierverkehr,23535,192
2022-09-05,Fracht Express,0,15
2022-09-04,Fracht Cargo,0,
2022-08-31,Passagierverkehr,21551,188
2022-08-29,Passagierverkehr,23433,189
2022-08-29,Fracht Express,0,15
2022-08-29,Fracht Cargo,0,2
2022-08-28,Andere Kategorien,37,9
2022-08-27,Fracht Express,0,2
2022-08-27,Fracht Cargo,0,4
2022-08-26,Fracht Express,0,11
2022-08-26,Fracht Cargo,0,2
2022-08-26,Andere Kategorien,7,34
2022-08-25,Passagierverkehr,26417,223
2022-08-25,Fracht Cargo,0,
2022-08-22,Passagierverkehr,24191,211
2022-08-22,Fracht Express,0,15
2022-08-21,Passagierverkehr,27345,216
2022-08-21,Fracht Express,0,
2022-08-20,Passagierverkehr,27919,229
2022-08-20,Andere Kategorien,4,65
2022-08-19,Passagierverkehr,25728,200
2022-08-19,Fracht Express,0,11
2022-08-19,Andere Kategorien,0,40
2022-08-18,Passagierverkehr,27076,206
2022-08-18,Fracht Express,0,16
2022-08-18,Fracht Cargo,0,
2022-08-17,Passagierverkehr,23200,197
2022-08-17,Fracht Express,0,18
2022-08-16,Fracht Cargo,0,
2022-08-15,Fracht Express,0,13
2022-08-15,Fracht Cargo,0,2
2022-08-14,Passagierverkehr,28207,221
2022-08-13,Andere Kategorien,5,58
2022-08-12,Passagierverkehr,27428,221
2022-08-12,Fracht Express,0,11
2022-08-10,Fracht Express,0,18
2022-08-09,Passagierverkehr,26896,204
2022-08-09,Fracht Express,0,18
2022-08-07,Passagierverkehr,29353,207
2022-08-07,Andere Kategorien,0,36
2022-08-03,Passagierverkehr,25613,194
2022-08-03,Fracht Cargo,0,4
2022-08-03,Andere Kategorien,8,48
2022-08-02,Andere Kategorien,7,37
2022-07-31,Passagierverkehr,29865,223
2022-07-31,Fracht Express,0,
2022-07-28,Fracht Cargo,0,
2022-07-28,Andere Kategorien,10,97
2022-07-27,Passagierverkehr,24077,180
2022-07-26,Andere Kategorien,20,84
