day,category,passengers,flights
2022-02-07,Fracht Express,0,16
2022-02-07,Fracht Cargo,0,3
2022-02-07,Andere Kategorien,11,81
2022-02-06,Andere Kategorien,0,14
2022-02-03,Andere Kategorien,14,75
2022-02-02,Passagierverkehr,3213,52
2022-02-02,Fracht Cargo,0,4
2022-02-01,Fracht Express,0,18
2022-01-31,Passagierverkehr,4803,60
2022-01-31,Fracht Express,0,15
2022-01-30,Passagierverkehr,9872,91
2022-01-30,Fracht Cargo,0,
2022-01-29,Passagierverkehr,8255,67
2022-01-29,Andere Kategorien,0,110
2022-01-28,Passagierverkehr,8910,93
2022-01-28,Andere Kategorien,1,51
2022-01-27,Fracht Express,0,18
2022-01-27,Fracht Cargo,0,
2022-01-27,Andere Kategorien,2,16
2022-01-26,Fracht Cargo,0,4
2022-01-26,Andere Kategorien,4,16
2022-01-25,Fracht Express,0,18
2022-01-25,Fracht Cargo,0,
2022-01-24,Passagierverkehr,3447,52
2022-01-24,Fracht Express,0,15
2022-01-23,Andere Kategorien,12,60
2022-01-22,Passagierverkehr,7572,75
2022-01-21,Fracht Express,0,13
2022-01-20,Fracht Express,0,18
2022-01-20,Fracht Cargo,0,
2022-01-19,Fracht Express,0,18
2022-01-18,Passagierverkehr,4540,59
2022-01-17,Fracht Express,0,15
2022-01-17,Fracht Cargo,0,2
2022-01-16,Fracht Cargo,0,
2022-01-16,Andere Kategorien,0,116
2022-01-15,Passagierverkehr,8531,73
2022-01-15,Fracht Express,0,4
2022-01-15,Fracht Cargo,0,4
2022-01-14,Passagierverkehr,7765,103
2022-01-14,Andere Kategorien,5,153
2022-01-13,Fracht Express,0,17
2022-01-12,Passagierverkehr,3839,55
2022-01-12,Fracht Express,0,21
2022-01-11,Fracht Cargo,0,4
2022-01-10,Fracht Express,0,15
2022-01-09,Fracht Express,0,
2022-01-07,Passagierverkehr,12164,142
2022-01-07,Fracht Express,0,13
2022-01-05,Passagierverkehr,8879,99
2022-01-04,Fracht Express,0,16
2022-01-03,Andere Kategorien,0,36
2022-01-02,Andere Kategorien,0,54
2022-01-01,Passagierverkehr,15791,142
2021-12-31,Passagierverkehr,13421,137
2021-12-31,Fracht Cargo,0,
2021-12-31,Andere Kategorien,0,95
2021-12-28,Fracht Cargo,0,
2021-12-27,Andere Kategorien,6,69
2021-12-26,Andere Kategorien,3,13
2021-12-25,Passagierverkehr,14502,137
2021-12-25,Fracht Express,0,
2021-12-25,Fracht Cargo,0,4
2021-12-23,Passagierverkehr,18170,159
2021-12-23,Fracht Cargo,0,2
2021-12-22,Fracht Express,0,18
2021-12-19,Andere Kategorien,3,62
2021-12-18,Passagierverkehr,14727,150
2021-12-18,Fracht Express,0,6
2021-12-18,Fracht Cargo,0,4
2021-12-18,Andere Kategorien,1,34
2021-12-17,Andere Kategorien,17,30
2021-12-16,Fracht Express,0,18
2021-12-16,Fracht Cargo,0,
2021-12-15,Fracht Express,0,18
2021-12-14,Andere Kategorien,0,111
2021-12-13,Passagierverkehr,7680,101
2021-12-13,Andere Kategorien,0,83
2021-12-12,Fracht Express,0,1
2021-12-11,Fracht Express,0,5
2021-12-10,Passagierverkehr,11078,140
2021-12-10,Fracht Cargo,0,4
2021-12-09,Fracht Cargo,0,2
2021-12-08,Fracht Express,0,18
2021-12-08,Andere Kategorien,0,6
2021-12-07,Passagierverkehr,7345,92
2021-12-07,Fracht Cargo,0,1
2021-12-07,Andere Kategorien,7,105
2021-12-06,Fracht Cargo,0,3
2021-12-05,Passagierverkehr,11170,127
2021-12-04,Passagierverkehr,9350,91
2021-12-04,Fracht Express,0,6
2021-12-04,Andere Kategorien,3,8
2021-12-03,Fracht Express,0,13
2021-12-02,Passagierverkehr,6237,81
2021-12-02,Fracht Cargo,0,2
2021-12-01,Fracht Express,0,18
2021-12-01,Fracht Cargo,0,2
2021-11-27,Andere Kategorien,6,13
2021-11-26,Fracht Express,0,13
2021-11-26,Fracht Cargo,0,4
2021-11-26,Andere Kategorien,0,36
2021-11-25,Andere Kategorien,3,9
2021-11-22,Fracht Cargo,0,2
2021-11-22,Andere Kategorien,2,10
2021-11-21,Passagierverkehr,15288,133
2021-11-21,Fracht Express,0,
2021-11-20,Fracht Express,0,6
2021-11-19,Passagierverkehr,15342,144
2021-11-19,Andere Kategorien,3,20
2021-11-18,Fracht Cargo,0,
2021-11-17,Fracht Express,0,21
2021-11-17,Fracht Cargo,0,6
2021-11-16,Passagierverkehr,8254,78
2021-11-15,Passagierverkehr,11385,116
2021-11-15,Fracht Express,0,16
2021-11-15,Andere Kategorien,14,48
2021-11-14,Andere Kategorien,8,15
2021-11-13,Passagierverkehr,11650,102
2021-11-12,Fracht Cargo,0,4
2021-11-12,Andere Kategorien,6,10
2021-11-11,Fracht Cargo,0,
2021-11-10,Passagierverkehr,8533,90
2021-11-10,Fracht Cargo,0,6
2021-11-09,Passagierverkehr,8701,99
2021-11-09,Fracht Cargo,0,
2021-11-03,Passagierverkehr,10367,106
2021-11-02,Passagierverkehr,13628,123
2021-11-02,Fracht Express,0,18
2021-11-02,Fracht Cargo,0,2
2021-11-01,Passagierverkehr,17573,141
2021-11-01,Andere Kategorien,4,34
2022-11-25,Andere Kategorien,0,0
2022-11-24,Fracht Express,0,
2022-11-24,Andere Kategorien,0,17
2022-11-23,Passagierverkehr,9743,101
2022-11-23,Fracht Cargo,0,19
2022-11-21,Fracht Cargo,0,4
2022-11-21,Andere Kategorien,1,25
2022-11-20,Passagierverkehr,19041,160
2022-11-20,Fracht Express,0,
2022-11-20,Fracht Cargo,0,
2022-11-18,Fracht Express,0,11
2022-11-18,Andere Kategorien,0,32
2022-11-17,Andere Kategorien,3,8
2022-11-16,Fracht Cargo,0,2
2022-11-15,Passagierverkehr,11485,119
2022-11-14,Fracht Cargo,0,2
2022-11-14,Andere Kategorien,1,60
2022-11-13,Passagierverkehr,20749,160
2022-11-13,Fracht Express,0,
2022-11-13,Fracht Cargo,0,
2022-11-11,Fracht Express,0,11
2022-11-10,Fracht Cargo,0,2
2022-11-09,Andere Kategorien,1,12
2022-11-08,Fracht Express,0,22
2022-11-07,Passagierverkehr,16895,145
2022-11-07,Fracht Express,0,15
2022-11-06,Andere Kategorien,5,55
2022-11-05,Passagierverkehr,18139,138
2022-11-05,Andere Kategorien,1,47
2022-11-04,Fracht Express,0,11
2022-11-03,Fracht Express,0,18
2022-11-03,Fracht Cargo,0,2
2022-11-02,Fracht Cargo,0,2
2022-11-02,Andere Kategorien,0,48
2022-11-01,Fracht Cargo,0,
2022-11-01,Andere Kategorien,0,70
2022-10-31,Passagierverkehr,22559,176
2022-10-31,Fracht Express,0,15
2022-10-31,Fracht Cargo,0,2
2022-10-30,Fracht Cargo,0,
2022-10-29,Passagierverkehr,25765,189
2022-10-29,Andere Kategorien,3,57
2022-10-28,Fracht Cargo,0,2
2022-10-28,Andere Kategorien,11,102
2022-10-27,Passagierverkehr,23985,200
2022-10-27,Andere Kategorien,8,24
