tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Gewöhnliche Esche,,76,67,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Vogel-Kirsche,,76,67,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Europäische Lärche,1960-01-01,72,63,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,1950-01-01,82,73,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Baum-Hasel,1995-01-01,37,28,Gemäss Baumschutzgesetz (BSchG),Hörnli,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,1980-01-01,55,43,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Hängebirke / Weiss- oder Sandbirke,1967-03-01,65,56,Geschützt (Umfang),Kleinbasel,Privatbäume gepflegt durch STG,Basel
Losbaum,2016-10-04,16,7,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1880-04-04,152,143,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Schwarzer Holunder,2000-04-23,32,23,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Berg-Ahorn,,57,48,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,,-1,-99,Geschützt (Umfang),Süd,Freizeit- und Sportanlagen,Riehen
Gewöhnliche Platane,,76,67,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gold-Blasenbaum,2017-03-27,15,6,Geschützt (Ersatzpflanzung),Ost,Schul- und Kindergartenareal,Basel
Amerikanische Rot-Eiche,1992-09-20,40,31,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Österreichische Schwarz-Kiefer,1960-01-01,72,63,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Scheinakazie / Robinie,1950-01-01,82,73,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Schwedische Mehlbeere,,57,48,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Krim-Linde,,46,32,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Feld-Ahorn,,56,47,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Spitz-Ahorn,,-1,-99,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Schmalblättrige Purpur-Esche,1990-01-01,42,33,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
Schwarzkiefer,,50,41,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Scheinakazie / Robinie,2009-06-22,23,14,Gemäss Baumschutzgesetz (BSchG),Süd,Freizeit- und Sportanlagen,Riehen
Säulenförmiger Spitz-Ahorn,2017-03-02,15,6,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gewöhnliche Platane,1900-01-01,133,123,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,87,78,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Stiel-Eiche,,51,42,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Spitz-Ahorn,,76,67,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,128,119,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,2017-03-13,15,6,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Gefülltblühende Rosskastanie,,97,88,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Gefülltblühende Rosskastanie,,92,83,Gemäss Baumschutzgesetz (BSchG),West,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,111,102,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Silber-Ahorn,2020-11-18,12,3,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Winter-Linde,,57,48,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Hilliers Kirsche,2017-03-20,15,6,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,,106,97,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Douglasie,2018-11-18,14,5,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gewöhnliche Esche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Baum-Hasel,2016-03-17,16,7,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Kolchischer Ahorn,1982-10-12,-1,41,Geschützt (Umfang),Süd,Parkgrün,Riehen
Krim-Linde,,62,53,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gewöhnliche Hain- oder Weissbuche,1974-01-01,58,49,Geschützt (Umfang),Ost,Schul- und Kindergartenareal,Basel
Gewöhnliche Platane,,91,82,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Schwarzkiefer,,71,62,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Hängebirke / Weiss- oder Sandbirke,,56,47,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
"Gewöhnliche Esche ""Atlas""",2007-04-04,25,16,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,,57,48,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,,44,35,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,,97,88,Gemäss Baumschutzgesetz (BSchG),West,Schul- und Kindergartenareal,Basel
Weymouths Kiefer,1960-01-01,72,63,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Feld-Ahorn,,66,57,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Chinesische Birne,,47,38,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Felsen-Ahorn / Burgen-Ahorn,2018-03-22,14,5,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Gefülltblühende Rosskastanie,1965-03-01,69,58,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
Tulpen-Magnolie,,66,57,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Platane,2013-11-12,19,10,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Silber-Ahorn,2020-11-18,12,3,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Feld-Ahorn,,46,37,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Lawsons Scheinzypresse,,-1,-99,Gemäss Baumschutzgesetz (BSchG),West,Privatbäume gepflegt durch STG,Basel
Krim-Linde,1930-01-01,102,93,Geschützt (Umfang),Hörnli,Öffentliche Grünflächen,Basel
"Spitz-Ahorn ""Deborah""",2017-04-06,15,6,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Feld-Ahorn,,-1,-99,Geschützt (Umfang),Süd,Schulen,Riehen
Gewöhnliche oder Europäische Eibe,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Krim-Linde,,81,72,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Gemeine Rosskastanie,1940-03-01,92,83,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Flaum-Eiche,2011-12-14,20,11,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Spitz-Ahorn,1954-01-01,78,69,Geschützt (Ersatzpflanzung),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnliche Esche,2008-10-08,24,15,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Krim-Linde,1999-03-15,35,24,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Gemeine Rosskastanie,1960-03-01,72,63,Geschützt (Umfang),Kleinbasel,Strassenbäume,Basel
