tree_species,planting_date,tree_age_total,tree_age_planted,protection_status,location,tree_group,municipality
Gewöhnliche oder Europäische Eibe,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Ungarische Eiche,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gold-Robinie,,-1,-99,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gemeine Rosskastanie,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Blut- oder Kirsch-Pflaume,2008-09-23,24,15,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Feld-Ahorn,,-1,-99,Geschützt (Umfang),Süd,Schulen,Riehen
Ungarische Silber-Linde,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Verschiedenblättrige Eiche,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gefüllt blühende Vogel-Kirsche,1969-01-01,63,54,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Silber-Pappel,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Holländische Linde,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Mammutbaum / Wellingtonia,1959-01-01,73,64,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Spitz-Ahorn,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Hänge-Silber-Linde,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Österreichische Schwarz-Kiefer,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Österreichische Schwarz-Kiefer,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Ungarische Silber-Linde,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1944-01-01,88,79,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Behaarte Esche,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Kaukasische Flügelnuss,1959-09-21,-1,64,Geschützt (Umfang),Süd,Schulen,Riehen
Grossblütige Gleditschie,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Spitz-Ahorn,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Blaue Atlas-Zeder,1979-01-01,53,44,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Stein-Weichsel,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Pekannuss,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1944-01-01,88,79,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Schmalblättrige Esche,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Schwarzkiefer,1940-03-12,92,83,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Amerikanische Rot-Eiche,1965-10-07,-1,58,Geschützt (Umfang),Gottesacker,Parkgrün,Riehen
Scharlach-Rosskastanie,1954-01-01,78,69,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche Fichte,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche Fichte,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche Fichte,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Rotblühende Rosskastanie,1974-01-01,58,49,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Zweifarbige Eiche,1994-01-01,38,29,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Zerr-Eiche,2018-04-12,14,5,Gemäss Baumschutzgesetz (BSchG),Nord,Strassenbäume,Riehen
Scharlach-Rosskastanie,1944-01-01,88,79,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gewöhnliche oder Europäische Eibe,1960-09-13,72,63,Geschützt (Umfang),Nord,Parkgrün,Riehen
Königsnuss,1989-01-01,43,34,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Spanischer Feld-Ahorn,2008-09-16,24,15,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Nutka-Scheinzypresse,1984-01-01,48,39,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Gemeine Rosskastanie,1989-01-01,43,34,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Blut- oder Kirsch-Pflaume,2012-09-26,20,11,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Spanischer Feld-Ahorn,2008-09-16,24,15,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Blaue Säulen-Scheinzypresse,1964-01-01,68,59,Geschützt (Umfang),West,Öffentliche Grünflächen,Basel
Japanische Zelkove,1995-04-04,37,28,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Hängebirke / Weiss- oder Sandbirke,1978-04-12,-1,45,Gemäss Baumschutzgesetz (BSchG),Süd,Liegenschaftsverwaltung,Riehen
Hängebirke / Weiss- oder Sandbirke,,-1,-99,Geschützt (Umfang),Nord,Naturschutzanlage,Riehen
Krim-Linde,2017-12-10,14,5,Gemäss Baumschutzgesetz (BSchG),Ost,Strassenbäume,Basel
Spanischer Feld-Ahorn,2020-11-16,12,3,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Amerikanische Rot-Eiche,2014-09-19,18,9,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Winter-Linde/Stadt-Linde,2019-04-02,13,4,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Rot-Buche,1920-03-03,112,103,Geschützt (Umfang),Ost,Privatbäume gepflegt durch STG,Basel
Blut- oder Kirsch-Pflaume,1990-09-26,42,33,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Amerikanische Rot-Eiche,1973-09-20,-1,50,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gemeine Rosskastanie,1880-04-04,152,143,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Echte Walnuss,1980-09-27,52,43,Gemäss Baumschutzgesetz (BSchG),Nord,Liegenschaftsverwaltung,Riehen
Pyramiden-Eiche,2017-04-10,15,6,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Scheinakazie / Robinie,,-1,-99,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Sumpfzypresse,2015-03-30,-1,8,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Wald-Kiefer,2000-09-21,32,23,Geschützt (Umfang),Süd,Schulen,Riehen
Schwarzkiefer,1920-09-16,112,103,Geschützt (Umfang),Nord,Parkgrün,Riehen
Winter-Linde,1960-09-30,72,63,Geschützt (Umfang),Nord,Parkgrün,Riehen
Blut- oder Kirsch-Pflaume,2012-10-26,20,11,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Silber-Weide,2021-11-24,10,1,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Indischer Zederachbaum,2021-11-16,11,2,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Gewöhnliche oder Europäische Eibe,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Himalaya- bzw. Schnee-Birke,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Berg-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Stiel-Eiche,2015-10-09,17,8,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Wald-Kiefer,2021-11-16,11,2,Geschützt (Ersatzpflanzung),West,Öffentliche Grünflächen,Basel
Winter-Linde,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Stein-Eiche,2021-03-24,11,2,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
Berg-Ahorn,1980-01-01,52,43,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Amerikanische Rot-Eiche,1963-09-20,-1,60,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Edel-Kastanie/ Ess-Kastanie,2022-03-28,10,1,Gemäss Baumschutzgesetz (BSchG),Süd,Freizeit- und Sportanlagen,Riehen
Douglasie,2017-03-30,15,6,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Kanada-Pappel,1945-03-16,-1,78,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
"Morgenländische Platane ""Minaret""",2012-03-21,-1,11,Geschützt (Ersatzpflanzung),Süd,Verkehrsgrün / Strassenbäume,Riehen
Kirsche / Sachalin-Kirsche,1997-01-01,35,26,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Strassenbäume,Basel
Blut- oder Kirsch-Pflaume,1996-09-26,36,27,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Platane,1900-10-20,-1,123,Geschützt (Umfang),Nord,Liegenschaftsverwaltung,Riehen
Zerr-Eiche,2018-12-13,13,4,Gemäss Baumschutzgesetz (BSchG),Nord,Strassenbäume,Riehen
Pyramiden Pappel,2018-11-04,14,5,Gemäss Baumschutzgesetz (BSchG),Nord,Strassenbäume,Riehen
Dreiblütiger Ahorn,,45,33,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Gewöhnlicher Judasbaum,2020-03-05,12,3,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Stiel-Eiche,,-1,-99,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Gewöhnliche Esche,1941-09-27,-1,82,Geschützt (Umfang),Nord,Parkgrün,Riehen
Rot-Buche,1950-09-12,82,73,Geschützt (Umfang),Süd,Parkgrün,Riehen
Echte Walnuss,,-1,-99,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Spanischer Feld-Ahorn,2008-09-16,24,15,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Blut- oder Kirsch-Pflaume,2016-03-14,16,7,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Silber-Ahorn,1982-04-21,50,41,Gemäss Baumschutzgesetz (BSchG),Nord,Liegenschaftsverwaltung,Riehen
Japanische Flügelnuss,2012-03-22,-1,11,Geschützt (Ersatzpflanzung),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Hain- oder Weissbuche,1998-09-16,-1,25,Gemäss Baumschutzgesetz (BSchG),Nord,Landschaftsgrün,Riehen
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Geschützt (Umfang),West,Strassenbäume,Basel
Gewöhnliche Scheinakazie / Robinie,,-1,-99,Geschützt (Umfang),Süd,Freizeit- und Sportanlagen,Riehen
Stiel-Eiche,,-1,-99,Geschützt (Umfang),Süd,Naturschutzanlage,Riehen
Gewöhnliche oder Europäische Eibe,2017-03-03,5,6,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Japanischer Pagodenbaum,1975-03-03,57,48,Geschützt (Umfang),Ost,Strassenbäume,Basel
Winter-Linde,1960-09-30,72,63,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Berg-Ulme,1989-09-20,43,34,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Tränen-Kiefer,,39,30,Geschützt (Umfang),Ost,Strassenbäume,Basel
Gewöhnliche oder Europäische Eibe,1970-10-27,-1,53,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gewöhnliche Fichte,1960-11-13,-1,63,Geschützt (Umfang),Süd,Parkgrün,Riehen
Kaukasus-Fichte,2014-10-31,-1,9,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Gewöhnliche oder Europäische Eibe,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Wald-Kiefer,2014-10-31,-1,9,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Esche,1960-09-13,72,63,Geschützt (Umfang),Süd,Parkgrün,Riehen
Gewöhnliche Platane,1950-09-19,82,73,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Hängebirke / Weiss- oder Sandbirke,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gemeine Rosskastanie,1944-01-01,88,79,Geschützt (Umfang),Ost,Öffentliche Grünflächen,Basel
Feld-Ahorn,,-1,-99,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Zerr-Eiche,2018-03-22,14,5,Gemäss Baumschutzgesetz (BSchG),Bettingen,Parkgrün,Riehen
Gewöhnliche Hain- oder Weissbuche,1962-03-10,70,61,Gemäss Baumschutzgesetz (BSchG),Nord,Liegenschaftsverwaltung,Riehen
bezieht sich auf die gesamte Waldfläche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Ost,Öffentliche Grünflächen,Basel
Weide,2020-11-16,12,3,Gemäss Baumschutzgesetz (BSchG),Nord,Schulen,Riehen
Gewöhnliche Scheinakazie / Robinie,2002-03-04,30,21,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Amerikanische Rot-Eiche,1986-10-20,-1,37,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Krim-Linde,2014-10-29,-1,9,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Winter-Linde,1965-09-22,67,58,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Schwarzkiefer,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Winter-Linde,1950-09-22,82,73,Geschützt (Umfang),Süd,Kindergärten,Riehen
Gewöhnliche Platane,1960-09-22,72,63,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Schmalblättrige Purpur-Esche,2021-11-25,10,1,Geschützt (Ersatzpflanzung),Ost,Strassenbäume,Basel
Blut-Buche,1920-09-14,112,103,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gewöhnliche Platane,1950-11-26,81,72,Geschützt (Umfang),Süd,Parkgrün,Riehen
Schwarzkiefer,1950-09-26,82,73,Geschützt (Umfang),Süd,Schulen,Riehen
Edel-Kastanie/ Ess-Kastanie,2020-11-16,12,3,Gemäss Baumschutzgesetz (BSchG),Süd,Parkgrün,Riehen
,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Liegenschaftsverwaltung,Riehen
Ungarische Silber-Linde,2013-02-01,19,10,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Europäische Lärche,1992-10-21,40,31,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Spitz-Ahorn,1995-04-15,37,28,Gemäss Baumschutzgesetz (BSchG),Nord,Naturschutzanlage,Riehen
Winter-Linde,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Stiel-Eiche,2015-10-09,17,8,Gemäss Baumschutzgesetz (BSchG),Ost,Privatbäume gepflegt durch STG,Basel
Spitz-Ahorn,1944-01-01,93,79,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarzkiefer,1960-09-21,72,63,Geschützt (Umfang),Süd,Schulen,Riehen
Schneeballblättriger Ahorn,2020-11-16,12,3,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Schneeballblättriger Ahorn,2020-11-16,12,3,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Spitz-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Schwarz-Erle,1990-05-15,42,33,Gemäss Baumschutzgesetz (BSchG),Nord,Naturschutzanlage,Riehen
Amerikanische Rot-Eiche,2019-12-03,12,3,Gemäss Baumschutzgesetz (BSchG),Süd,Strassenbäume,Riehen
Amerikanische Rot-Eiche,2019-12-03,12,3,Gemäss Baumschutzgesetz (BSchG),Süd,Strassenbäume,Riehen
Amerikanische Rot-Eiche,2019-04-24,13,4,Gemäss Baumschutzgesetz (BSchG),Süd,Strassenbäume,Basel
Amerikanische Rot-Eiche,2019-12-03,12,3,Gemäss Baumschutzgesetz (BSchG),Süd,Strassenbäume,Riehen
Zerr-Eiche,2018-03-23,14,5,Gemäss Baumschutzgesetz (BSchG),Bettingen,Parkgrün,Riehen
Amerikanische Rot-Eiche,1950-09-20,-1,73,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche oder Europäische Eibe,1970-10-27,-1,53,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Amerikanische Rot-Eiche,2019-04-24,13,4,Gemäss Baumschutzgesetz (BSchG),Süd,Strassenbäume,Basel
Berg-Ulme,1989-09-20,43,34,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Amerikanischer Tulpenbaum,1985-09-16,47,38,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Schmalblättrige Purpur-Esche,2002-09-26,30,21,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Zweigriffliger Weissdorn,2000-09-21,32,23,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Europäische Lärche,1980-09-12,52,43,Geschützt (Umfang),Süd,Landschaftsgrün,Riehen
Berg-Ahorn,2019-09-27,13,4,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Schwarzkiefer,1950-09-13,82,73,Geschützt (Umfang),Nord,Parkgrün,Riehen
Trauben-Eiche,2018-09-30,14,5,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Gewöhnliche oder Europäische Eibe,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Europäische Lärche,1975-09-12,57,48,Geschützt (Umfang),Süd,Spiel- und Rastplätze,Riehen
"Spitz-Ahorn ""Deborah""",2021-11-30,10,1,Geschützt (Ersatzpflanzung),West,Schul- und Kindergartenareal,Basel
Pagoden-Hartriegel,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
"Spanische Eiche ""Fulhamensis""",2018-12-10,13,4,Gemäss Baumschutzgesetz (BSchG),Nord,Strassenbäume,Riehen
Berg-Ahorn,1960-09-30,72,63,Geschützt (Umfang),Nord,Parkgrün,Riehen
Amerikanische Rot-Eiche,1955-09-20,77,68,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Blut- oder Kirsch-Pflaume,1986-10-26,46,37,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Wald-Kiefer,,-1,-99,Geschützt (Umfang),Nord,Spiel- und Rastplätze,Riehen
Gewöhnliche Platane,1981-09-19,-1,42,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Berg-Ahorn,2018-04-12,14,5,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Blut- oder Kirsch-Pflaume,2013-03-18,-1,10,Geschützt (Ersatzpflanzung),Nord,Verkehrsgrün / Strassenbäume,Riehen
Gemeine Rosskastanie,1970-09-13,62,53,Geschützt (Umfang),Nord,Parkgrün,Riehen
Südlicher Zürgelbaum,2021-11-18,11,2,Geschützt (Ersatzpflanzung),Kleinbasel,Strassenbäume,Basel
Dreizähniger Ahorn,2021-11-18,11,2,Geschützt (Ersatzpflanzung),Kleinbasel,Öffentliche Grünflächen,Basel
Schwarz-Erle,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Landschaftsgrün,Riehen
Schwarzkiefer,1950-09-16,82,73,Geschützt (Umfang),Nord,Landschaftsgrün,Riehen
Farnblättrige Rot-Buche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Gewöhnliche Platane,1960-09-30,72,63,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Rot-Buche,1945-09-13,87,78,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gewöhnliche oder Europäische Eibe,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Pyramiden Pappel,,106,97,Geschützt (Umfang),Kleinbasel,Öffentliche Grünflächen,Basel
Prunus-Art,2014-03-25,-1,9,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Herzblättrige Erle,2014-03-25,-1,9,Gemäss Baumschutzgesetz (BSchG),Nord,Schulen,Riehen
Nutka-Scheinzypresse,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Kleinbasel,Öffentliche Grünflächen,Basel
Europäische Hopfenbuche,2012-11-14,-1,11,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Echte Walnuss,1980-09-14,52,43,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Amerikanischer Amberbaum,2014-03-25,18,9,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Platane,1960-09-30,72,63,Geschützt (Umfang),Nord,Verkehrsgrün / Strassenbäume,Riehen
Einblättrige Robinie,1970-11-19,-1,53,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Spanische Eiche,2018-04-12,14,5,Gemäss Baumschutzgesetz (BSchG),Nord,Strassenbäume,Riehen
Säulen-Hainbuche,1999-03-23,33,24,Gemäss Baumschutzgesetz (BSchG),Bettingen,Parkgrün,Riehen
Stiel-Eiche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Echte Walnuss,1997-03-08,40,26,Geschützt (Umfang),Nord,Naturschutzanlage,Riehen
Echte Walnuss,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Weiss-Tanne,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Schwarzkiefer,,-1,-99,Geschützt (Umfang),Süd,Parkgrün,Riehen
Spanischer Feld-Ahorn,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Kindergärten,Riehen
Schwarzkiefer,1955-04-19,77,68,Geschützt (Umfang),Süd,Schulen,Riehen
Sommer-Linde,1997-09-13,-1,26,Gemäss Baumschutzgesetz (BSchG),Nord,Parkgrün,Riehen
Wald-Kiefer,2015-03-26,-1,8,Gemäss Baumschutzgesetz (BSchG),Süd,Parkgrün,Riehen
Gewöhnliche Fichte,,-1,-99,Geschützt (Umfang),Nord,Parkgrün,Riehen
Berg-Ulme,1989-09-20,43,34,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Kaukasus-Fichte,1945-09-14,87,78,Geschützt (Umfang),Nord,Parkgrün,Riehen
Gewöhnliche Platane,1952-11-19,-1,71,Geschützt (Umfang),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Hain- oder Weissbuche,2014-04-01,-1,9,Gemäss Baumschutzgesetz (BSchG),Nord,Freizeit- und Sportanlagen,Riehen
Kornelkirsche,2014-06-02,18,9,Gemäss Baumschutzgesetz (BSchG),Süd,Schulen,Riehen
Säulen-Hainbuche,1999-03-23,33,24,Gemäss Baumschutzgesetz (BSchG),Bettingen,Parkgrün,Riehen
Amerikanische Linde,2012-03-19,20,11,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Gewöhnliche Fichte,1970-09-12,-1,53,Geschützt (Umfang),Süd,Parkgrün,Riehen
Mammutbaum / Wellingtonia,1920-11-13,-1,103,Geschützt (Umfang),Süd,Parkgrün,Riehen
Stiel-Eiche,1990-01-01,42,33,Geschützt (Ersatzpflanzung),Ost,Privatbäume gepflegt durch STG,Basel
Rot-Buche,2016-03-03,6,7,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Winter-Linde,1950-09-30,82,73,Geschützt (Umfang),Nord,Parkgrün,Riehen
Hängebirke / Weiss- oder Sandbirke,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Spitz-Ahorn,2002-03-12,30,21,Gemäss Baumschutzgesetz (BSchG),West,Strassenbäume,Basel
Blasenbaum / Blasenesche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Gottesacker,Parkgrün,Riehen
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Gemäss Baumschutzgesetz (BSchG),Süd,Freizeit- und Sportanlagen,Riehen
Gewöhnliche Hain- oder Weissbuche,,-1,-99,Geschützt (Umfang),Süd,Freizeit- und Sportanlagen,Riehen
Gefülltblühende Rosskastanie,1970-03-16,-1,53,Geschützt (Umfang),Nord,Parkgrün,Riehen
Winter-Linde,2008-01-01,24,15,Nicht geschützt (BL Waldzone etc.),Ost,Öffentliche Grünflächen,Basel
Spanischer Feld-Ahorn,2008-09-16,24,15,Gemäss Baumschutzgesetz (BSchG),Nord,Verkehrsgrün / Strassenbäume,Riehen
Hängebirke / Weiss- oder Sandbirke,2015-03-26,-1,8,Gemäss Baumschutzgesetz (BSchG),Süd,Parkgrün,Riehen
Winter-Linde,1960-09-30,72,63,Geschützt (Umfang),Nord,Parkgrün,Riehen
Feld-Ahorn,2019-03-03,3,4,Geschützt (Ersatzpflanzung),Ost,Öffentliche Grünflächen,Basel
Blut- oder Kirsch-Pflaume,1990-09-26,42,33,Gemäss Baumschutzgesetz (BSchG),Süd,Verkehrsgrün / Strassenbäume,Riehen
Sommer-Linde,1950-10-23,-1,73,Gemäss Baumschutzgesetz (BSchG),Bettingen,Parkgrün,Riehen
Europäische Hopfenbuche,2022-03-22,10,1,Geschützt (Ersatzpflanzung),West,Strassenbäume,Basel
